source,target,neurosymbolic_score,confidence_label,path_distance,known_positive,ontology_path,explanation
Super_Keyword,Level_Up,0.5769825842488822,Moderate,2,False,Super_Keyword --hasPreResource--> Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Super_Keyword' (neuro-symbolic score: 0.577 — Moderate confidence, novel). The ontology moderately supports this recommendation through 1 intermediate concept(s) (confidence: 0.41, path length: 2). Ontological path: [Super_Keyword --hasPreResource--> Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Loops,Level_Up,0.5715896754328317,Moderate,2,False,Loops --hasPreResource(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Loops' (neuro-symbolic score: 0.572 — Moderate confidence, novel). The ontology moderately supports this recommendation through 1 intermediate concept(s) (confidence: 0.40, path length: 2). Ontological path: [Loops --hasPreResource(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Strings,Level_Up,0.564342092341275,Weak,2,False,Strings --hasPreResource--> Variables --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Strings' (neuro-symbolic score: 0.564 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.39, path length: 2). Ontological path: [Strings --hasPreResource--> Variables --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
3.16.0,Level_Up,0.5624685616068819,Moderate,1,False,3.16.0 --has_latestVersion(rev)--> Level_Up,"The game element 'Level_Up' is recommended for the topic '3.16.0' (neuro-symbolic score: 0.562 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_latestVersion(rev)' relation (confidence: 0.74). Ontological path: [3.16.0 --has_latestVersion(rev)--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Inheritance,Level_Up,0.5580195175468783,Moderate,2,False,Inheritance --contains--> Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Inheritance' (neuro-symbolic score: 0.558 — Moderate confidence, novel). The ontology moderately supports this recommendation through 1 intermediate concept(s) (confidence: 0.40, path length: 2). Ontological path: [Inheritance --contains--> Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
RF_GE_STash,Stash,0.5538406648165873,Moderate,1,False,RF_GE_STash --has_reference(rev)--> Stash,"The game element 'Stash' is recommended for the topic 'RF_GE_STash' (neuro-symbolic score: 0.554 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_reference(rev)' relation (confidence: 0.75). Ontological path: [RF_GE_STash --has_reference(rev)--> Stash]. 'Stash' is an element related to 'Stash'."
Loops,Stash,0.5527421589025056,Weak,2,False,Loops --hasPreResource--> Control_Statements --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Loops' (neuro-symbolic score: 0.553 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.39, path length: 2). Ontological path: [Loops --hasPreResource--> Control_Statements --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
Java_Basics,Level_Up,0.5512995607141751,Weak,2,False,Java_Basics --contains--> Variables --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Java_Basics' (neuro-symbolic score: 0.551 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.39, path length: 2). Ontological path: [Java_Basics --contains--> Variables --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Arguments_and_parameters,Level_Up,0.5488230363588603,Weak,2,False,Arguments_and_parameters --hasPreResource(rev)--> Overloading --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Arguments_and_parameters' (neuro-symbolic score: 0.549 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.39, path length: 2). Ontological path: [Arguments_and_parameters --hasPreResource(rev)--> Overloading --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Task_about_Polymorphism,Level_Up,0.5457342053353428,Weak,2,False,Task_about_Polymorphism --hasPreResource--> Overriding --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Task_about_Polymorphism' (neuro-symbolic score: 0.546 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.39, path length: 2). Ontological path: [Task_about_Polymorphism --hasPreResource--> Overriding --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Polymorphism,Level_Up,0.5455513125862479,Weak,2,False,Polymorphism --contains--> Overloading --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Polymorphism' (neuro-symbolic score: 0.546 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.38, path length: 2). Ontological path: [Polymorphism --contains--> Overloading --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Java_Basics,Stash,0.5449638841367261,Weak,2,False,Java_Basics --contains--> Functions --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Java_Basics' (neuro-symbolic score: 0.545 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.38, path length: 2). Ontological path: [Java_Basics --contains--> Functions --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
3.16.0,Tiny_stash,0.5398561683600537,Moderate,1,False,3.16.0 --has_latestVersion(rev)--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic '3.16.0' (neuro-symbolic score: 0.540 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_latestVersion(rev)' relation (confidence: 0.74). Ontological path: [3.16.0 --has_latestVersion(rev)--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
RFK_GE_TinyStash,Tiny_stash,0.5377097302752006,Moderate,1,False,RFK_GE_TinyStash --has_reference(rev)--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'RFK_GE_TinyStash' (neuro-symbolic score: 0.538 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_reference(rev)' relation (confidence: 0.75). Ontological path: [RFK_GE_TinyStash --has_reference(rev)--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
RF_GE_BloackGame,BLockGame,0.5367874702213496,Moderate,1,False,RF_GE_BloackGame --has_reference(rev)--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'RF_GE_BloackGame' (neuro-symbolic score: 0.537 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_reference(rev)' relation (confidence: 0.75). Ontological path: [RF_GE_BloackGame --has_reference(rev)--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Java_Basics,Tiny_stash,0.5341178702436877,Weak,2,False,Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'Java_Basics' (neuro-symbolic score: 0.534 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.40, path length: 2). Ontological path: [Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
Java_Basics,BLockGame,0.5340019423487259,Weak,2,False,Java_Basics --contains--> Control_Statements --containsGameElement--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'Java_Basics' (neuro-symbolic score: 0.534 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.38, path length: 2). Ontological path: [Java_Basics --contains--> Control_Statements --containsGameElement--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Functions,BLockGame,0.5328043227071806,Moderate,2,False,Functions --hasPreResource(rev)--> Control_Statements --containsGameElement--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'Functions' (neuro-symbolic score: 0.533 — Moderate confidence, novel). The ontology moderately supports this recommendation through 1 intermediate concept(s) (confidence: 0.40, path length: 2). Ontological path: [Functions --hasPreResource(rev)--> Control_Statements --containsGameElement--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Strings,Tiny_stash,0.5296209662207187,Weak,2,False,Strings --hasPreResource--> Variables --containsGameElement--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'Strings' (neuro-symbolic score: 0.530 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.40, path length: 2). Ontological path: [Strings --hasPreResource--> Variables --containsGameElement--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
Tiny_stash,Level_Up,0.5115068040566517,Weak,2,False,Tiny_stash --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Tiny_stash' (neuro-symbolic score: 0.512 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.38, path length: 2). Ontological path: [Tiny_stash --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
block_xp,Level_Up,0.5100011824792786,Moderate,1,False,block_xp --has_URL(rev)--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'block_xp' (neuro-symbolic score: 0.510 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_URL(rev)' relation (confidence: 0.70). Ontological path: [block_xp --has_URL(rev)--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Level Up XP,Level_Up,0.5100011824792786,Moderate,1,False,Level Up XP --has_title(rev)--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Level Up XP' (neuro-symbolic score: 0.510 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_title(rev)' relation (confidence: 0.70). Ontological path: [Level Up XP --has_title(rev)--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
"Learners receive points for their actions, visualise their progress, compete with others through a leaderboard, and unlock content based on their individual needs and experiences.",Level_Up,0.5100011824792786,Moderate,1,False,"Learners receive points for their actions, visualise their progress, compete with others through a leaderboard, and unlock content based on their individual needs and experiences. --has_description(rev)--> Level_Up","The game element 'Level_Up' is recommended for the topic 'Learners receive points for their actions, visualise their progress, compete with others through a leaderboard, and unlock content based on their individual needs and experiences.' (neuro-symbolic score: 0.510 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_description(rev)' relation (confidence: 0.70). Ontological path: [Learners receive points for their actions, visualise their progress, compete with others through a leaderboard, and unlock content based on their individual needs and experiences. --has_description(rev)--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Extend_Keyword,Level_Up,0.5082302240115515,Weak,3,False,Extend_Keyword --hasPreResource(rev)--> Single_level_inheritance --hasPreResource(rev)--> Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Extend_Keyword' (neuro-symbolic score: 0.508 — Moderate confidence, novel). The ontology weakly supports this recommendation through 2 intermediate concept(s) (confidence: 0.31, path length: 3). Ontological path: [Extend_Keyword --hasPreResource(rev)--> Single_level_inheritance --hasPreResource(rev)--> Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Inheritance_vs_Composition,Level_Up,0.5073717823633763,Weak,3,False,Inheritance_vs_Composition --hasPreResource--> Super_Keyword --hasPreResource--> Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Inheritance_vs_Composition' (neuro-symbolic score: 0.507 — Moderate confidence, novel). The ontology weakly supports this recommendation through 2 intermediate concept(s) (confidence: 0.31, path length: 3). Ontological path: [Inheritance_vs_Composition --hasPreResource--> Super_Keyword --hasPreResource--> Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
block_stash,Stash,0.5072314713002765,Moderate,1,False,block_stash --has_URL(rev)--> Stash,"The game element 'Stash' is recommended for the topic 'block_stash' (neuro-symbolic score: 0.507 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_URL(rev)' relation (confidence: 0.70). Ontological path: [block_stash --has_URL(rev)--> Stash]. 'Stash' is an element related to 'Stash'."
"Enables teachers to create items that students can collect, providing an interactive experience where students find items across the course.",Stash,0.5072314713002765,Moderate,1,False,"Enables teachers to create items that students can collect, providing an interactive experience where students find items across the course. --has_description(rev)--> Stash","The game element 'Stash' is recommended for the topic 'Enables teachers to create items that students can collect, providing an interactive experience where students find items across the course.' (neuro-symbolic score: 0.507 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_description(rev)' relation (confidence: 0.70). Ontological path: [Enables teachers to create items that students can collect, providing an interactive experience where students find items across the course. --has_description(rev)--> Stash]. 'Stash' is an element related to 'Stash'."
2.1.1,Stash,0.5072314713002765,Moderate,1,False,2.1.1 --has_latestVersion(rev)--> Stash,"The game element 'Stash' is recommended for the topic '2.1.1' (neuro-symbolic score: 0.507 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_latestVersion(rev)' relation (confidence: 0.70). Ontological path: [2.1.1 --has_latestVersion(rev)--> Stash]. 'Stash' is an element related to 'Stash'."
Variables,Stash,0.5067701254066244,Weak,2,False,Variables --hasPreResource(rev)--> Strings --containsGameElement--> Stash,"The game element 'Stash' is recommended for the topic 'Variables' (neuro-symbolic score: 0.507 — Moderate confidence, novel). The ontology weakly supports this recommendation through 1 intermediate concept(s) (confidence: 0.39, path length: 2). Ontological path: [Variables --hasPreResource(rev)--> Strings --containsGameElement--> Stash]. 'Stash' is an element related to 'Stash'."
Arithmetic_operations,Level_Up,0.5039136292831767,Moderate,2,False,Arithmetic_operations --hasPreResource--> Task_about_Java_Basics --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Arithmetic_operations' (neuro-symbolic score: 0.504 — Moderate confidence, novel). The ontology moderately supports this recommendation through 1 intermediate concept(s) (confidence: 0.40, path length: 2). Ontological path: [Arithmetic_operations --hasPreResource--> Task_about_Java_Basics --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
block_game,BLockGame,0.5012655936489385,Moderate,1,False,block_game --has_URL(rev)--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'block_game' (neuro-symbolic score: 0.501 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_URL(rev)' relation (confidence: 0.70). Ontological path: [block_game --has_URL(rev)--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
3.0.0,BLockGame,0.5012655936489385,Moderate,1,False,3.0.0 --has_latestVersion(rev)--> BLockGame,"The game element 'BLockGame' is recommended for the topic '3.0.0' (neuro-symbolic score: 0.501 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_latestVersion(rev)' relation (confidence: 0.70). Ontological path: [3.0.0 --has_latestVersion(rev)--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Allows the user to choose or change their avatar at any time.,BLockGame,0.5012655936489385,Moderate,1,False,Allows the user to choose or change their avatar at any time. --has_description(rev)--> BLockGame,"The game element 'BLockGame' is recommended for the topic 'Allows the user to choose or change their avatar at any time.' (neuro-symbolic score: 0.501 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_description(rev)' relation (confidence: 0.70). Ontological path: [Allows the user to choose or change their avatar at any time. --has_description(rev)--> BLockGame]. 'BLockGame' is an element related to 'BLockGame'."
Tiny Stash,Tiny_stash,0.49979853743499186,Moderate,1,False,Tiny Stash --has_title(rev)--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'Tiny Stash' (neuro-symbolic score: 0.500 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_title(rev)' relation (confidence: 0.70). Ontological path: [Tiny Stash --has_title(rev)--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
tiny_stash,Tiny_stash,0.49979853743499186,Moderate,1,False,tiny_stash --has_URL(rev)--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'tiny_stash' (neuro-symbolic score: 0.500 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_URL(rev)' relation (confidence: 0.70). Ontological path: [tiny_stash --has_URL(rev)--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
A companion plugin for block_stash. This allows you to create items and trades from the TinyMCE editor to be inserted into the activities in your course,Tiny_stash,0.49979853743499186,Moderate,1,False,A companion plugin for block_stash. This allows you to create items and trades from the TinyMCE editor to be inserted into the activities in your course --has_description(rev)--> Tiny_stash,"The game element 'Tiny_stash' is recommended for the topic 'A companion plugin for block_stash. This allows you to create items and trades from the TinyMCE editor to be inserted into the activities in your course' (neuro-symbolic score: 0.500 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_description(rev)' relation (confidence: 0.70). Ontological path: [A companion plugin for block_stash. This allows you to create items and trades from the TinyMCE editor to be inserted into the activities in your course --has_description(rev)--> Tiny_stash]. 'Tiny_stash' is an element related to 'Tiny stash'."
Parent_classes,Level_Up,0.49432252740978105,Weak,3,False,Parent_classes --contains(rev)--> Inheritance --contains--> Multi-level_inheritance --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Parent_classes' (neuro-symbolic score: 0.494 — Moderate confidence, novel). The ontology weakly supports this recommendation through 2 intermediate concept(s) (confidence: 0.30, path length: 3). Ontological path: [Parent_classes --contains(rev)--> Inheritance --contains--> Multi-level_inheritance --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
Control_Statements,Level_Up,0.4926849108961455,Weak,3,False,Control_Statements --containsGameElement--> Stash --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up,"The game element 'Level_Up' is recommended for the topic 'Control_Statements' (neuro-symbolic score: 0.493 — Moderate confidence, novel). The ontology weakly supports this recommendation through 2 intermediate concept(s) (confidence: 0.28, path length: 3). Ontological path: [Control_Statements --containsGameElement--> Stash --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up]. 'Level_Up' is an element related to 'Level Up'."
RF_GE_Motrain,Motrain,0.49051381847328085,Moderate,1,False,RF_GE_Motrain --has_reference(rev)--> Motrain,"The game element 'Motrain' is recommended for the topic 'RF_GE_Motrain' (neuro-symbolic score: 0.491 — Moderate confidence, novel). The ontology directly validates this recommendation via a 'has_reference(rev)' relation (confidence: 0.70). Ontological path: [RF_GE_Motrain --has_reference(rev)--> Motrain]. 'Motrain' is an element related to 'Motrain'."
