source,target,probability_mean,symbolic_confidence,neurosymbolic_score,confidence_label,path_distance,key_relation,ontology_path,known_positive,explanation
Overloaded_constructors,Level_Up,0.5203989336778947,1.0,0.8561196801033684,High,1,containsGameElement,Overloaded_constructors --containsGameElement--> Level_Up,True,"Level_Up is strongly recommended for Overloaded_constructors (neuro-symbolic score: 0.856 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Overloaded_constructors --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Control_Statements,Stash,0.5139741050876621,1.0,0.8541922315262985,High,1,containsGameElement,Control_Statements --containsGameElement--> Stash,True,"Stash is strongly recommended for Control_Statements (neuro-symbolic score: 0.854 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Control_Statements --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Control_Statements,BLockGame,0.5139741050876621,1.0,0.8541922315262985,High,1,containsGameElement,Control_Statements --containsGameElement--> BLockGame,True,"BLockGame is strongly recommended for Control_Statements (neuro-symbolic score: 0.854 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Control_Statements --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Loops,BLockGame,0.4912236339699202,1.0,0.847367090190976,High,1,containsGameElement,Loops --containsGameElement--> BLockGame,True,"BLockGame is strongly recommended for Loops (neuro-symbolic score: 0.847 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [Loops --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
demo_GR2,Availability_Block_Game_by_level,0.3552515864908822,1.0,0.8065754759472646,High,1,containsGameElement,demo_GR2 --containsGameElement--> Availability_Block_Game_by_level,True,"Availability_Block_Game_by_level is strongly recommended for demo_GR2 (neuro-symbolic score: 0.807 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [demo_GR2 --containsGameElement--> Availability_Block_Game_by_level]. Availability_Block_Game_by_level is a gated game element that becomes available as students advance through levels."
gr,bonusPoints,0.3552515864908822,1.0,0.8065754759472646,High,1,containsGameElement,gr --containsGameElement--> bonusPoints,True,"bonusPoints is strongly recommended for gr (neuro-symbolic score: 0.807 — High confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [gr --containsGameElement--> bonusPoints]. bonusPoints is a bonus points system that rewards extra effort and participation."
demo_GR1,Level_Up,0.1653903704618449,1.0,0.7496171111385534,High,1,containsGameElement,demo_GR1 --containsGameElement--> Level_Up,True,"Level_Up is recommended for demo_GR1 (neuro-symbolic score: 0.750 — Moderate confidence, validated recommendation). The ontology directly validates this recommendation via a 'containsGameElement' relation (ontological confidence: 1.0). Ontological path: [demo_GR1 --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Arithmetic_operations,Level_Up,0.6164653815538472,0.5,0.5349396144661541,Moderate,2,hasPreResource,Arithmetic_operations --hasPreResource--> Task_about_Java_Basics --containsGameElement--> Level_Up,False,"Level_Up is recommended for Arithmetic_operations (neuro-symbolic score: 0.535 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Arithmetic_operations --hasPreResource--> Task_about_Java_Basics --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Arithmetic_operations,BLockGame,0.6162974633485859,0.5,0.5348892390045757,Moderate,2,hasPreResource,Arithmetic_operations --hasPreResource--> Task_about_Java_Basics --containsGameElement--> BLockGame,False,"BLockGame is recommended for Arithmetic_operations (neuro-symbolic score: 0.535 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Arithmetic_operations --hasPreResource--> Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Variables,Stash,0.5583735614149203,0.5,0.5175120684244761,Moderate,2,hasPreResource(rev),Variables --hasPreResource(rev)--> Strings --containsGameElement--> Stash,False,"Stash is recommended for Variables (neuro-symbolic score: 0.518 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Variables --hasPreResource(rev)--> Strings --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Functions,BLockGame,0.5556271318862318,0.5,0.5166881395658696,Moderate,2,hasPreResource(rev),Functions --hasPreResource(rev)--> Control_Statements --containsGameElement--> BLockGame,False,"BLockGame is recommended for Functions (neuro-symbolic score: 0.517 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Functions --hasPreResource(rev)--> Control_Statements --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Strings,Level_Up,0.5537036327384409,0.5,0.5161110898215322,Moderate,2,hasPreResource,Strings --hasPreResource--> Variables --containsGameElement--> Level_Up,False,"Level_Up is recommended for Strings (neuro-symbolic score: 0.516 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Strings --hasPreResource--> Variables --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Strings,Tiny_stash,0.5536011485122141,0.5,0.5160803445536641,Moderate,2,hasPreResource,Strings --hasPreResource--> Variables --containsGameElement--> Tiny_stash,False,"Tiny_stash is recommended for Strings (neuro-symbolic score: 0.516 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Strings --hasPreResource--> Variables --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Loops,Level_Up,0.4913272566448622,0.5,0.4973981769934587,Moderate,2,hasPreResource(rev),Loops --hasPreResource(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up,False,"Level_Up is recommended for Loops (neuro-symbolic score: 0.497 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Loops --hasPreResource(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Loops,Stash,0.4912236339699202,0.5,0.497367090190976,Moderate,2,hasPreResource,Loops --hasPreResource--> Control_Statements --containsGameElement--> Stash,False,"Stash is recommended for Loops (neuro-symbolic score: 0.497 — Moderate confidence, novel recommendation). The ontology indirectly supports this recommendation through 1 intermediate concept(s) in the knowledge graph (confidence: 0.50). Ontological path: [Loops --hasPreResource--> Control_Statements --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Arithmetic_operations,Tiny_stash,0.6162974633485859,0.3333333333333333,0.418222572337909,Weak,3,contains(rev),Arithmetic_operations --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Arithmetic_operations (neuro-symbolic score: 0.418 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Arithmetic_operations --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Task_about_Java_Basics,Tiny_stash,0.6144163992089832,0.3333333333333333,0.4176582530960282,Weak,3,containsGameElement,Task_about_Java_Basics --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Task_about_Java_Basics (neuro-symbolic score: 0.418 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Task_about_Java_Basics --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Buil-in_Data_Types,Stash,0.5891109870012026,0.3333333333333333,0.4100666294336941,Weak,3,containsGameElement,Buil-in_Data_Types --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash,False,"Stash is proposed as an exploratory suggestion for Buil-in_Data_Types (neuro-symbolic score: 0.410 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Buil-in_Data_Types --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Buil-in_Data_Types,BLockGame,0.5891109870012026,0.3333333333333333,0.4100666294336941,Weak,3,containsGameElement,Buil-in_Data_Types --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Buil-in_Data_Types (neuro-symbolic score: 0.410 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Buil-in_Data_Types --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Overloading,Tiny_stash,0.5600099277026952,0.3333333333333333,0.4013363116441418,Weak,3,containsGameElement,Overloading --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Overloading (neuro-symbolic score: 0.401 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overloading --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Overloading,Stash,0.5600099277026952,0.3333333333333333,0.4013363116441418,Weak,3,containsGameElement,Overloading --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash,False,"Stash is proposed as an exploratory suggestion for Overloading (neuro-symbolic score: 0.401 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overloading --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Overloading,BLockGame,0.5600099277026952,0.3333333333333333,0.4013363116441418,Weak,3,containsGameElement,Overloading --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Overloading (neuro-symbolic score: 0.401 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overloading --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Variables,BLockGame,0.5583735614149203,0.3333333333333333,0.4008454017578094,Weak,3,contains(rev),Variables --contains(rev)--> Java_Basics --contains--> Control_Statements --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Variables (neuro-symbolic score: 0.401 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Variables --contains(rev)--> Java_Basics --contains--> Control_Statements --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Functions,Level_Up,0.555727410740602,0.3333333333333333,0.4000515565555139,Weak,3,containsGameElement,Functions --containsGameElement--> Stash --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up,False,"Level_Up is proposed as an exploratory suggestion for Functions (neuro-symbolic score: 0.400 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Functions --containsGameElement--> Stash --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Functions,Tiny_stash,0.5556271318862318,0.3333333333333333,0.4000214728992028,Weak,3,contains(rev),Functions --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Functions (neuro-symbolic score: 0.400 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Functions --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Strings,BLockGame,0.5536011485122141,0.3333333333333333,0.3994136778869975,Weak,3,containsGameElement,Strings --containsGameElement--> Stash --containsGameElement(rev)--> Control_Statements --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Strings (neuro-symbolic score: 0.399 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Strings --containsGameElement--> Stash --containsGameElement(rev)--> Control_Statements --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Overriding,Stash,0.5451901110320743,0.3333333333333333,0.3968903666429555,Weak,3,containsGameElement,Overriding --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash,False,"Stash is proposed as an exploratory suggestion for Overriding (neuro-symbolic score: 0.397 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overriding --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Overriding,Tiny_stash,0.5451901110320743,0.3333333333333333,0.3968903666429555,Weak,3,containsGameElement,Overriding --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Overriding (neuro-symbolic score: 0.397 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overriding --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Overriding,BLockGame,0.5451901110320743,0.3333333333333333,0.3968903666429555,Weak,3,containsGameElement,Overriding --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Overriding (neuro-symbolic score: 0.397 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overriding --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Multi-level_inheritance,Tiny_stash,0.5394034018975772,0.3333333333333333,0.3951543539026064,Weak,3,containsGameElement,Multi-level_inheritance --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Multi-level_inheritance (neuro-symbolic score: 0.395 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Multi-level_inheritance,BLockGame,0.5394034018975772,0.3333333333333333,0.3951543539026064,Weak,3,containsGameElement,Multi-level_inheritance --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Multi-level_inheritance (neuro-symbolic score: 0.395 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Multi-level_inheritance,Stash,0.5394034018975772,0.3333333333333333,0.3951543539026064,Weak,3,containsGameElement,Multi-level_inheritance --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash,False,"Stash is proposed as an exploratory suggestion for Multi-level_inheritance (neuro-symbolic score: 0.395 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Multi-level_inheritance --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Overloaded_constructors,Tiny_stash,0.5203057894995042,0.3333333333333333,0.3894250701831845,Weak,3,containsGameElement,Overloaded_constructors --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Overloaded_constructors (neuro-symbolic score: 0.389 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overloaded_constructors --containsGameElement--> Level_Up --containsGameElement(rev)--> Buil-in_Data_Types --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Overloaded_constructors,BLockGame,0.5203057894995042,0.3333333333333333,0.3894250701831845,Weak,3,containsGameElement,Overloaded_constructors --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame,False,"BLockGame is proposed as an exploratory suggestion for Overloaded_constructors (neuro-symbolic score: 0.389 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overloaded_constructors --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> BLockGame]. BLockGame is a block-based coding game that reinforces logical reasoning and sequential thinking."
Overloaded_constructors,Stash,0.5203057894995042,0.3333333333333333,0.3894250701831845,Weak,3,containsGameElement,Overloaded_constructors --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash,False,"Stash is proposed as an exploratory suggestion for Overloaded_constructors (neuro-symbolic score: 0.389 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Overloaded_constructors --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
Control_Statements,Level_Up,0.5140759277023319,0.3333333333333333,0.3875561116440328,Weak,3,containsGameElement,Control_Statements --containsGameElement--> BLockGame --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up,False,"Level_Up is proposed as an exploratory suggestion for Control_Statements (neuro-symbolic score: 0.388 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Control_Statements --containsGameElement--> BLockGame --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Level_Up]. Level_Up is a leveling system that rewards progressive mastery of the topic."
Control_Statements,Tiny_stash,0.5139741050876621,0.3333333333333333,0.3875255648596319,Weak,3,contains(rev),Control_Statements --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Control_Statements (neuro-symbolic score: 0.388 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Control_Statements --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
Loops,Tiny_stash,0.4912236339699202,0.3333333333333333,0.3807004235243093,Weak,3,contains(rev),Loops --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash,False,"Tiny_stash is proposed as an exploratory suggestion for Loops (neuro-symbolic score: 0.381 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [Loops --contains(rev)--> Java_Basics --contains--> Variables --containsGameElement--> Tiny_stash]. Tiny_stash is a lightweight version of the stash mechanic, suitable for shorter activities."
demo_GR1,Stash,0.1653909166592519,0.3333333333333333,0.2829506083311088,Weak,3,containsGameElement,demo_GR1 --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash,False,"Stash is proposed as an exploratory suggestion for demo_GR1 (neuro-symbolic score: 0.283 — Weak confidence, novel recommendation). The ontological connection is weak, passing through 2 intermediate concept(s) in the knowledge graph (confidence: 0.33). Ontological path: [demo_GR1 --containsGameElement--> Level_Up --containsGameElement(rev)--> Task_about_Java_Basics --containsGameElement--> Stash]. Stash is a collection mechanic that incentivizes completing exercises and accumulating resources."
